,Game,Price,Offers,Tags,Day
283,Resident Evil Revelations / Biohazard Revelations,4.09,18.0,"Akcja, Przygodowe",2019/05/02
284,Sword Art Online: Fatal Bullet,25.75,4.0,"Akcja, RPG",2019/05/02
285,Five Nights at Freddy's: Sister Location,1.4,9.0,"Niezalezne, Symulacje, Akcja",2019/05/02
286,Alan Wake's American Nightmare,3.0,7.0,"Akcja, Przygodowe",2019/05/02
287,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,2.55,7.0,"Symulacje, Akcja, MMO",2019/05/02
288,Volume,3.0,6.0,"Niezalezne, Akcja",2019/05/02
289,Broken Sword 5 - the Serpent's Curse,4.03,2.0,Przygodowe,2019/05/02
290,A Fistful of Gun,1.79,4.0,"Niezalezne, Akcja",2019/05/02
291,Medieval Kingdom Wars,13.9,4.0,"Niezalezne, Symulacje, Strategiczne",2019/05/02
292,METAL GEAR RISING: REVENGEANCE,13.8,6.0,Akcja,2019/05/02
293,Escape Doodland,2.35,3.0,"Niezalezne, Akcja, Przygodowe, Rekreacyjne",2019/05/02
294,War of the Human Tanks,1.1,5.0,"Niezalezne, Strategiczne, Przygodowe",2019/05/02
295,Heliborne,7.5,6.0,"Niezalezne, Akcja, MMO",2019/05/02
296,Rain World,8.99,3.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
297,Old Man's Journey,0.99,16.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/02
298,Brawlout,2.0,9.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/02
299,Catlateral Damage,4.0,2.0,"Niezalezne, Symulacje, Akcja, Rekreacyjne",2019/05/02
300,Eredia: The Diary of Heroes,0.9,3.0,"Niezalezne, RPG, Przygodowe, Rekreacyjne",2019/05/02
301,GoNNER,0.99,12.0,Niezalezne,2019/05/02
302,Black Moon Chronicles,3.0,4.0,Strategiczne,2019/05/02
